gene,CTLrep1,CTLrep2,CTLrep3,KOrep1,KOrep2,KOrep3
ENSG00000227232.6,150,146,220,164,200,212
ENSG00000243485.5,2,1,2,4,4,1
ENSG00000233750.3,3,5,10,6,9,4
ENSG00000268903.1,56,45,73,54,70,57
ENSG00000269981.1,39,22,48,27,41,44
ENSG00000241860.7,35,16,23,36,37,22
ENSG00000279457.4,99,72,119,100,121,113
ENSG00000292994.1,31,24,34,22,31,27
ENSG00000290385.1,31,30,41,41,64,25
ENSG00000293331.1,14,5,18,21,13,9
ENSG00000225972.1,1478,1018,1626,1577,1682,2070
ENSG00000225630.1,788,755,993,1034,1075,1203
ENSG00000237973.1,374,364,543,467,509,555
ENSG00000229344.1,25,31,45,39,53,80
ENSG00000248527.1,4425,3331,4660,4201,4623,5787
ENSG00000198744.5,63,43,67,56,85,113
ENSG00000291215.1,112,110,126,129,151,88
ENSG00000237491.10,20,17,25,27,26,23
ENSG00000290784.1,3,4,3,5,6,4
ENSG00000177757.2,2,1,5,6,4,4
ENSG00000225880.6,52,29,42,31,47,50
ENSG00000228794.12,1996,1751,2649,2359,2288,2109
ENSG00000230368.2,1,1,2,1,4,1
ENSG00000272438.1,21,22,28,27,30,28
ENSG00000230699.2,104,102,119,102,133,134
ENSG00000223764.2,75,88,128,81,109,124
ENSG00000187634.13,90,93,131,59,53,148
ENSG00000188976.11,11020,10656,14225,11524,11209,13440
ENSG00000187961.15,343,258,383,361,411,341
ENSG00000187583.11,116,103,141,149,143,126
ENSG00000272512.1,16,21,23,22,42,25
ENSG00000188290.11,450,438,554,366,426,713
ENSG00000187608.10,614,588,848,493,501,581
ENSG00000224969.1,6,4,12,12,9,8
ENSG00000188157.15,51916,50969,68225,60960,58940,69113
ENSG00000291156.1,82,63,68,80,71,64
ENSG00000273443.1,3,7,1,4,2,4
ENSG00000217801.13,14,5,6,10,11,10
ENSG00000237330.3,41,32,35,30,41,42
ENSG00000131591.18,846,831,1128,884,911,1227
ENSG00000285812.1,17,7,12,14,26,11
ENSG00000272141.1,9,5,10,5,7,8
ENSG00000205231.1,17,14,14,2,11,11
ENSG00000162571.14,19,14,23,14,12,9
ENSG00000186891.14,6,6,5,1,2,3
ENSG00000186827.12,3,2,6,1,2,3
ENSG00000078808.20,9515,8868,12394,10421,11091,12066
ENSG00000176022.7,2573,2456,3234,2746,2700,3260
ENSG00000184163.3,29,29,28,25,27,42
ENSG00000260179.1,11,3,8,9,4,13
ENSG00000160087.21,3090,2878,4025,3397,3538,3920
ENSG00000230415.1,8,5,9,3,6,4
ENSG00000162572.21,60,39,72,42,48,60
ENSG00000131584.19,2382,2253,2939,2332,2537,2544
ENSG00000169972.13,826,863,1179,842,913,1177
ENSG00000127054.22,4640,4423,6024,4567,4884,5568
ENSG00000240731.1,47,36,30,51,60,40
ENSG00000224051.7,1028,1137,1451,1165,1073,1469
ENSG00000169962.5,13,26,26,18,21,23
ENSG00000107404.21,3037,3028,3874,3004,3327,3686
ENSG00000162576.17,1921,1945,2485,1127,1188,2037
ENSG00000175756.14,3772,3720,5064,3793,3790,5235
ENSG00000221978.13,2614,2076,3066,2747,3320,2565
ENSG00000224870.9,1240,1060,1597,1253,1374,1344
ENSG00000242485.6,3951,3604,5252,4424,4324,4950
ENSG00000272455.1,146,138,187,167,192,145
ENSG00000235098.9,509,439,678,439,443,612
ENSG00000225905.1,9,5,9,7,8,9
ENSG00000205116.4,149,111,187,146,114,135
ENSG00000225285.1,50,36,51,43,57,55
ENSG00000179403.12,3807,3702,4995,4796,4660,5514
ENSG00000215915.10,67,47,94,91,124,69
ENSG00000160072.20,1519,1491,2030,1596,1625,1838
ENSG00000197785.14,3000,2874,4053,3005,2811,3941
ENSG00000205090.10,98,92,132,65,81,139
ENSG00000160075.12,7171,6563,9328,8005,7624,8671
ENSG00000215014.5,37,35,63,53,31,51
ENSG00000228594.4,536,521,754,462,445,658
ENSG00000286989.1,9,6,6,9,8,8
ENSG00000272106.1,134,136,175,160,160,196
ENSG00000197530.13,1262,1182,1625,1374,1398,1735
ENSG00000248333.9,2535,2256,3231,2530,2558,2696
ENSG00000189339.12,6882,6218,8639,7367,8047,7135
ENSG00000293187.1,72,53,67,80,87,54
ENSG00000269737.3,31,20,30,21,45,18
ENSG00000008128.23,150,126,212,147,212,145
ENSG00000268575.1,158,97,178,142,135,140
ENSG00000293188.1,194,128,230,202,212,159
ENSG00000290854.1,132,122,202,137,143,136
ENSG00000008130.15,4480,4031,5561,4419,5021,4851
